body,company,location,salary,title
"Position Summary
Our Team
The Global Data & Advanced Analytics team enables Discovery Inc to turn data into action. Using big data platforms, data warehousing and business intelligence technology, audience data, advanced analytics, data science, visualization, and self-service analytics, this team supports global company efforts to increase revenue, drive audiences, and enhance consumer engagement.

The Role
As part of a growing team that is innovating the way Discovery does business around the world, the Data Science Sr. Manager will be responsible for managing and executing high impact data science projects to support our Ad Sales, Finance, Research, and Media business partners. These efforts will include optimization of revenue, viewership, engagement, retention, content value, and customer value for multiple media platforms. Specifically, you’ll be responsible for managing the development and operationalization of mathematical/statistical analyses, hypothesis tests, and... algorithms/models. You’ll also be responsible for managing refinement and execution of operationalized algorithms and models.

You’ll need to be an innovative forward-thinker who will manage end-to-end execution of data science initiatives, mentor and direct data scientists, and contribute directly to existing and emerging business strategies and goals. Communication and ability to work in a collaborative team environment are essential.

You’ll work with the Global Data Science Team Lead, data & analytics team, data engineering team, and business stakeholders to manage development, refinement, and scaling of data products. Therefore, this role requires strong technical and communication skills, creativity and attention to detail, experience managing data scientists, and experience managing data science projects from end-to-end – from use case definition to final product delivery.
Responsibilities
Management Responsibilities
1. Meet with business stakeholders to flush out use cases and key requirements
2. Collaborate with data & technology teams to identify & source data sets required for analyses
3. Provide regular updates to and receive strategic direction from Global Data Science Team Lead
4. Support Global Data Science Team Lead in setting up cadence of regular communication with senior level management and business stakeholders
5. Agree on project deliverable timelines with data scientists & relevant data, technology, and business partners; Manage project execution according to agreed timelines
6. Provide direction to data scientists and review data science approaches, code, & deliverables
7. Prepare and communicate insights from analyses to Global Data Science Team, senior level management, and business stakeholders in clear business terms
8. Assist in making data science techniques approachable and understandable to non-data scientists
9. Identify appropriate data science solutions as new data-centric business problems arise
10. Support Global Data Science Team Lead in developing and implementing data science framework, processes, and best practices
11. Stay current with new data science methods, technologies, and industry trends

Technical Responsibilities
1. Apply data mining techniques to cleanse and explore large, complex data sets in preparation for further analysis
2. Apply appropriate data reduction, feature selection, and feature engineering techniques
3. Develop and implement hypothesis tests
4. Develop, validate, and operationalize appropriate mathematical and statistical algorithms and models; including implementation on large scale systems
5. Review, make enhancements to, and execute operationalized algorithms and models
6. Develop data products to communicate insights to business stakeholders
7. Collaborate with data & technology teams to create repeatable processes and scalable data products
Requirements
• Master’s or PhD degree in a quantitative field (statistics, computer science, physics, etc.)
• Minimum of 5-8 years proven business experience and technical expertise in data science
• Experience cleansing and preparing large, complex datasets for analysis
• Expertise applying statistics or machine learning in a professional or other intensive problem-solving environment with large, complex datasets
• Experience with hypothesis testing, clustering, regression & classification, time series analysis, & optimization
• Expertise in statistical programming languages such as R or the Python scientific stack (NumPy, SciPy, scikit-learn, etc.)
• Professional-level expertise in developing, validating, and executing algorithms and models on large scale systems
• Experience with SQL
• Experience with Amazon Web Services (RedShift, S3, EC2, EMR, etc.) and Apache Spark preferred
• Familiarity with data visualization applications, like Tableau or RShiny
• Self-starter with strong analytical, critical thinking, and problem solving skills
• Excellent communication skills -- ability to present complex information in a concise and compelling manner
• Previous management of data science project execution and data scientists
• Prior media or direct-to-consumer industry experience preferred
• Must have the legal right to work in the United States",Discovery Digital Media,"New York, NY",$106k–174k,Senior Manager- Data Science
"We’re looking for Data Scientists who are passionate about generating actionable insights to drive product decisions across the business. You enjoy working with cutting edge technology and the ability to see your insights applied to real products on a regular basis.
You are focused on impact, a self-starter, and have demonstrated success in using data science to understand users and drive growth of a product or business. In approaching new problems, you demonstrate sharp critical thinking, intellectual curiosity, data fluency, and a collaborative work ethic. These roles are within the Strategy department and report to the Consumer Analytics Manager in Squarespace’s New York offices.
Depending on your area of focus, questions you may tackle in a typical day include:
What are the drivers of the growth of our Commerce product? How can we provide small businesses with tools to be more successful?
What paths do users take through our product and how should that influence our product... development roadmap?
How should we define “success” of the launch of a new product and why? How can we measure the impact of the new feature?
RESPONSIBILITIES
Collaborate with product managers, engineers, and designers to support the product roadmap with analyses and reports.
Reframe customer experiences and business objectives into quantifiable frameworks in order to reveal actionable insights.
Define metrics to measure the health of customer segments and progress towards product goals.
Work with product engineering to define and instrument events.
Build and own core reporting and underlying data transformations.
Communicate results and impact to product and business stakeholders.
Collaborate with wider data science team to contribute to learning culture and technical toolkit.
QUALIFICATIONS
2+ years of analytical work experience (experience working with product organizations a plus)
Strong critical thinking and problem solving skills
Experience communicating effectively with non-technical audiences
Strong ability to devise data-driven solutions to business problems
Strong competency with SQL
Experience with or exposure to a scripting language (Python preferred)

ABOUT SQUARESPACE
Squarespace makes beautiful products to help people with creative ideas succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. Squarespace’s team of more than 800 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.

PERKS
Health insurance with 100% premium covered
Flexible vacation & paid time off
Equity plan
401(k) plan with employer match
Free lunch and snacks
Dog-friendly workplace
And more
Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace",Squarespace,"New York, NY",$61.5k–92.3k,"Data Scientist, Product"
"Data Scientist
At AlphaSights, we search through more than 500 million professionals working in the world today to find the small handful of experts qualified to answer our clients needs. They use these insights to drive amazing progress within their organizations. Our mission is to provide access to dispersed, hidden, and underutilized knowledge.
We’ve made terrific progress working in this new space, but there is still an incredible amount of work to do. We’ve only just scratched the surface on how we can apply technology to this problem.
AlphaSights' Data Scientists help to build new products, improve search and discovery, and perform predictive analysis to improve new client conversions. As a data scientist you will find patterns in a unique view into the world economy and develop an understanding of why clients seek experts. Ultimately, your work will power the next generation of features to help our clients find who they are looking for.
We're looking for people who are... interested in creating high quality solutions to solve real world problems, comfortable working across multiple languages, and learn quickly when new technologies are introduced. We care more about your fundamentals and creativity versus your deep knowledge of a particular language or framework.
You will:
- Improve the speed at which we can help clients find the experts they are looking for
- Detect and understand trends
- Work in small, nimble teams
- Understand our business context deeply and leverage your engineering and data science knowledge to propose creative solutions to problems
- Write production level code to expose the models that you build
- Contribute to our open source projects
You might be a fit if you:
- Have 3+ years of industry experience
- Have experience with Machine Learning, Statistical Modeling, Recommendation Systems, Natural Language Processing
- Enjoy writing code in a variety of languages
- Have a proven track record of building product offerings end to end
- Constantly learn from and mentor others
- See yourself as an entrepreneur as well as a data scientist
- Are interested in working in a team applying data science to solve challenging business problems
- Deep learning a plus
You might work on:
- Trend analysis on the world economy
- Recommendation systems
- Predictive models using real time data of the global economy
Who you would work with:
- You would join a dynamic, multinational, and diverse team who enjoy solving interesting problems in a collaborative environment
- A growing team of data scientists with diverse backgrounds and skill sets
- We have self-taught engineers as well as graduates from top Computer Science and Engineering schools
- Your co-workers will include motivated recent graduates as well as experienced industry leaders from companies such as Google and Amazon
Don't worry if your experience or background doesn't match all of these areas, we believe a broad spectrum of experience provides great perspective on solving problems in new and innovative ways and we’d love to [hear from you].=
Find out more: http://engineering.alphasights.com",AlphaSights,"New York, NY",$92k–149k,Data Scientist
"Understanding our users and the health of our free business is central to meeting Spotify’s mission to unlock the potential of human creativity — by giving creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it. Data Scientists at Spotify turn terabytes of data into insights to influence strategic direction and drive client outcomes that directly enables us as a business to achieve this mission.

Painting an accurate picture of the Spotify user is an important step towards this goal. We use this information to help connect our free users to brands, to support senior decision makers with company-wide strategies and help our marketing team understand our users using their own behavior on Spotify.

What you’ll do

Working within a team of data scientists and engineers — and partnering with other technical and non-technical stakeholders across the globe — you’ll be responsible for producing insights and modeling user... behavior to support the ads business by providing insights on topics ranging from user behavior to monetization research. Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.
• You will leverage Spotify’s data to help our free business team understand our users and use statistical methods to paint an accurate picture of their behavior on our platform and present them to decision makers across the company and specifically within the global ad sales team.
• To maximize our impact at a data first company, you will build and maintain data pipelines in our cloud infrastructure and help surface this information directly to the company through dashboards, visualizations and blog posts.
• You will conduct research into various aspects of business and employ statistical and modeling techniques when appropriate to come up with recommendations for non-technical stakeholders.
• You will be part of a team of data scientists and engineers focusing on industry best practices with dedicate time to learn and grow your skills in various disciplines including statistics, modeling, data engineering and ML.

Who you are
• You have 2-4 years of experience as a practicing data scientist or data/analytics engineer.
• You are confident in accessing and manipulating terabytes of data using SQL and programming languages like Python and/or R.
• You have a basic understanding of different statistical and modeling methods, how they work and where they are best leveraged.
• You have experience presenting complex analytical topics and findings to non-technical stakeholders.
• Working understanding of distributed databases and data engineering platforms like Dataflow, Spark or similar is a plus.

We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply and we encourage everyone to come to be a part of changing the way the world listens to music",Spotify,"New York, NY",$56.9k–116k,"Data Scientist, Analytics & Insights"
"Who You'll Work With

You will work alongside Journey Analytics leaders in New York and the McKinsey Customer Experience leadership team. Journey Analytics is part of McKinsey Solutions and McKinsey’s New Ventures.

Journey Analytics is a specialist analytics team dedicated to combining analytics, design and consulting frameworks to improve customer experience by understanding, tracking and predicting sequences of events and interactions, to create better outcomes for businesses and customers in a variety of data-rich industries. Visit us to see what our data scientists have been working on: http://www.mckinsey.com/solutions/journey-analytics

McKinsey New Ventures fosters innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work. It is helping to shift our model toward asset-based consulting and is a foundation for –and expands our investment in –our entrepreneurial culture. Through innovative... software as a service solutions, strategic acquisitions, and a vibrant ecosystem of alliances, we are redefining what it means to work with McKinsey.

As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists) and we’re hiring more mathematicians, data scientists, designers, software engineers, product managers, client development managers and general managers.

What You'll Do

You will be the entrepreneurial leader that builds and owns analytics-based assets that bring the value of journey analytics to clients and their customers, at scale.

You will lead a team of specialists, data scientists and data engineers under the mentorship of solution leadership, through all stages of an engagement: defining the project, crafting the business solution, gathering and structuring data, building machine learning models, communicating business impact to senior client leaders, and being the change agent within an organization to make our recommendations a reality.

You will help business leaders answer critical questions related to customer journey mapping, customer experience transformations, digital adoption, multichannel acquisition, and other industry-specific challenges. Through diagnostics, predicting customer behaviour, tracking and prescribing interventions to journeys, training up client analytics teams and joint value capture programs, you will help clients achieve tangible improvements across every customer, patient and product journey.

Your time will be spent 60% on client delivery, 20% on asset development and 20% on client development.

Qualifications
• Master's degree in Mathematics, Statistics, Analytics, Operational Research or similar field
• Hands-on analytics experience
• Experience building machine learning models in Python. R or other programming languages is a plus
• Passion for defining the next generation of customer experience excellence
• Industry experience in retail banking, pharma, healthcare, insurance, telecommunications or digital is a plus
• Distinctive problem solving and analytical thinking
• Evidence of entrepreneurial drive and having a “start-up” mentality
• Ability to prototype apps and visualizations is a plus
• Willingness to travel internationally up to 75",McKinsey & Company,"New York, NY",,Data Scientist - Journey Analytics
"LEAD DATA SCIENTIST

JOB SUMMARY

The Lead Data Scientist is a creative data ninja, responsible for overseeing the organization and collection of large datasets from all kinds of different sources, (web APIs, internal databases), performing exploratory data analyses, use statistical and econometric techniques on said datasets, identify the best techniques to identify causal impact and attribution, and develop, implement and deploy different modeling projects as required by the agency clients.

EDUCATION
• Bachelor’s degree (B.A. or B.S.) or equivalent in Computer Science, Statistics, Finance, Mathematics, Decision Science, Economics, Information Management Studies, Bio-statistics, Bio-informatics, or Psychology, Sociology with coursework in Statistics, Calculus, or Advanced Math; Master’s Degree in Computer Science, Statistics, Applied Math or related field preferred.

REQUIREMENTS
• 5-7 years of work experience in marketing analytics or related field such as advertising, direct... marketing, online marketing, loyalty marketing, using data to solve complex Marketing problems.
• Working knowledge of marketing/advertising/research principles.
• 4+ years’ practical experience on data processing, database programming and data analytics using programming languages such as R, Python, Java, SAS, SPSS, SQL, etc.
• Advanced skills in Excel functions: Pivots, advanced formulas/macros, multi-spreadsheet links.
• Extensive background in data mining and statistical analysis.
• Able to understand various data structures and implement common methods in data transformation.
• Excellent pattern recognition and predictive modeling skills.

RESPONSIBILITIES
• Guide and manage more junior members of the team in performing extraction of data sets from multiple marketing/database platforms and perform hygiene and quality control steps.
• Provide thought leadership in new marketing analytics methodologies, techniques, tools & technology
• Scope, price and staff analytic engagements.
• Oversee analysts/sr. analysts as they derive and write clearly articulated key findings and observations from analyzing various data sources.
• Manage various external vendors including online services firms, content management , advanced modeling, research firms, or other services firms such as media, social, PR, direct mail, telemarketing, events marketing firms.
• Stay abreast of industry trends, best practices, and the evolving analytics landscape.
• Keep up-to-date with latest technology trends.
• Communicate results and ideas to key decision makers.
• Implement new statistical or other mathematical methodologies as needed for specific models or analysis.
• Optimize joint development efforts through appropriate database use and project design",TBWA\Chiat\Day,"New York, NY",$109k–174k,Lead Data Scientist
"The days of learning data science by passively consuming video lectures are over. Real learning takes place when a student’s hands are on the keyboard, writing code, working with data, and solving problems. If you agree, keep reading!

About DataCamp

DataCamp is building the future of data science education. Our students get real hands-on experience by completing self-paced, interactive data science courses from the best instructors in the world, right in the browser. In fact, millions of students around the world have completed over 90 million DataCamp exercises to date!

Behind every great DataCamp course are the passionate folks who built it. We decided early on that the best way for us to maximize value for our students is to build courses in partnership with top companies and experts in the data science community. That’s why our course library is packed with courses from companies like Anaconda and RStudio and data scientists like Andy Müller (scikit-learn), Ginger Grant and... Hadley Wickham (ggplot2, dplyr).

About the role:

As a Product Manager, you will directly contribute to DataCamp’s mission of democratizing data science education by building the best platform to learn and teach data skills. A typical day will involve gathering critical input from stakeholders, conducting learner interviews, and working closely with instructors on designing courses for key vertical customers and learners. You will drive our content strategy forward by partnering closely with cross-functional teams to define and deliver on the next phase of our data science curriculum. You will develop content solutions and build significant relationships with key data science experts in the field to execute on the huge market potential.

With strong technical competency in Python or SQL, and the ability to lead and influence across functional groups, you will make data-driven decisions and lead complex projects to successful completion. You will also be involved in all phases of the course development process, including requirements gathering, planning, design, launch, maintenance, and feedback.

In order to be effective in this role, you must have a sincere interest in education technology and data science as well as experience in project and/or product management.

In this role, you will:

Own the data science curriculum roadmap for your portion of the curriculum (i.e. data engineering, deep Learning/AI, machine learning, or scala)

Build MVP courses on new curriculum areas such as data engineering, deep learning/AI, machine learning, scala, and ability to learn these new topics!

Use data (surprise!), market research, and various inputs to inform curriculum decisions

Effectively set and hold instructors accountable for course deliverable deadlines

Assess subject matter experts who apply to become DataCamp instructors

Work closely with instructors to create detailed specifications for new courses

Collect and implement feedback on course design from internal and external sources

The ideal candidate:

This position is ideal for someone with a passion for data science and education, who is entrepreneurial and wants to join a fast-growing startup that’s training the next generation of data scientists!

2+ years in a product management or technical project management role

Ability to pick up new programming languages fast

Able to effectively synthesize, visualize, and communicate your ideas to others

Familiar with key data engineering concepts

Capable of explaining these ideas to an eight-year-old

Excellent attention to detail

Strong command of English, both written and verbal

Experience presenting at conferences or writing blog posts is a plus

What's in it for you?

Opportunity to build and grow your data science network by working with and learning from experts in the field

Opportunity to build the world’s most comprehensive data science training resource

A competitive salary and stock options at an early stage startup

100% of medical & dental insurance premiums paid

Flexible hours

International company retreats

DataCamp is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees",DataCamp,"New York, NY",,"Product Manager, Data Science Curriculum"
"Data & Analysis – Lead Data Scientist

What you’ll do:

Our Data Scientists deliver analytic solutions across a wide variety of client applications. We build inferential and predictive models, including machine learning algorithms and AI; we process, integrate and manipulate big data with distributed systems and customer data pipelines; we synthesize results and translate findings into compelling stories that resonate with clients.

As a Lead Data Scientist, you are our internal expert. You’ll develop and implement multi-faceted solutions for complex marketing and business challenges—from cross-channel media and customer experience optimization to segmentation, targeting and business strategy—synthesizing just the right elements of our technical and analytical offerings.

Day-to-day, your role includes:

· Owning end-to-end analytical projects involving data engineering, data mining, data modeling, and business strategy.

· Providing Internal expertise in fundamental skill areas such... as statistical methods, machine learning, AI, distributed computing, and open-source programming.

· Providing thought leadership and innovation in process, technique, and implementation.

· Collaborating with internal and external stakeholders to establish clear analytical objectives, approaches and timelines.

· Summarizing, visualizing, communicating and documenting analytic concepts, processes and results for technical and non-technical audiences.

· Sharing knowledge, debating techniques, and conducting research to advance the collective knowledge and skills of our Data Science practice.

We’re looking for rigorous analytic training and 7+ years professional experience in a data science or analytics role, which typically includes:

· Robust domain expertise in areas of statistical methods, machine learning, AI, distributed computing, and/or open-source programming languages

· Experience integrating a variety of data sources, methods, and applications to achieve specific objectives

· Experience implementing a range of statistical or machine learning methods, from basic descriptive statistics, hypothesis testing and feature transformation to complex dimension reduction, supervised or unsupervised learning, and model tuning and validation.

· Proficiency in Python or R, SQL, and distributed computing systems such as Hadoop or AWS. Familiarity with Linux and/or Spark preferred.

· Demonstrated ability to communicate complex technical concepts to non-technical audiences

· Demonstrated passion for marketing analytical applications

· Demonstrated self-starter who thrives in a fast-paced environment with flat structure.

Got what it takes? We’d love to hear from you.

Digitas is an equal opportunity employer",Publicis Groupe,"New York, NY",$109k–174k,Lead Data Scientist
"A career at New York Life offers many opportunities. To be part of a growing and successful business. To reach your full potential, whatever your specialty. Above all, to make a difference in the world by helping people achieve financial security. It’s a career journey you can be proud of, and you’ll find plenty of support along the way. Our development programs range from skill-building to management training, and we value our diverse and inclusive workplace where all voices can be heard. Recognized as one of Fortune’s World’s Most Admired Companies, New York Life is committed to improving local communities through a culture of employee giving and service, supported by our Foundation. It all adds up to a rewarding career at a company where doing right by our customers is part of who we are, as a mutual company without outside shareholders. We invite you to bring your talents to New York Life, so we can continue to help families and businesses “Be Good At Life.” To learn more, please... visit LinkedIn, our Newsroom and the Careers page of www.NewYorkLife.com.

The Center for Data Science and Analytics (CDSA) is the innovative corporate analytics group within New York Life. We are a rapidly growing entrepreneurial department which aims to design, create and offer innovative data-driven solutions for many parts of the enterprise. We are aided by New York Life’s existing business with a large market share in individual life insurance. We have the freedom to explore external data sources and new statistical techniques and are excited about delivering a whole new generation of Analytical solutions.

In fact, Underwriting Data Science Team is designing and will build one of the first multivariate model-based continuous risk differentiations in the industry. This model will incorporate current underwriting best practices (including medical rules) as features and add other data sources, patterns/ideas and variables to essentially create a rating plan to support the next generation underwriting process at New York Life. This is just one of several projects with large business value within the realm of CDSA. Geographic analytics on agents and customers, application fraud detection, agent success prediction and client prospecting analytics (off-line and on-line) are other exciting examples of enormous incremental value from analytics. Our products will be implemented into real-time core business processes and decisions that drive the company (e.g. underwriting, pricing, agent recruiting, prospecting, new product development).

We work with data ranging from demographics, credit and geo data to detailed medical data (medical test results, diagnosis, prescriptions) and social media information. We have a modern computing environment with a solid suite of data science/modeling tools and packages, and a large (but manageable) group of well-trained professionals at various levels to support you. Life insurance is on the verge of huge change. This is a chance to be part of, to drive, the transformation of an industry. Is this not why we became data scientists?

You will apply your highly developed analytical skills to work on all aspects of the life insurance underwriting value chain, ranging from risk models, fraud detection, and process triaging to a variety of other analytics solutions.

You will apply your leadership experience, high energy level and business sense to supervise staff, communicate with internal stakeholders and external vendors while effectively leading complex analytics projects. You will also ingest and wrangle data, propose analytics strategy, create related business cases, drive several large initiatives, build and implement solutions at scale and give presentations as a subject matter expert.

Responsibilities
• Independently leads data analysis and modeling projects from project/sample design, business review meetings with internal and external clients deriving requirements/deliverables, reception and processing of data, performing analyses and modeling to final reports/presentations, communication of results and implementation support.
• Responsible for insurance underwriting analytics, including exploration/consolidation of a variety of internal and external data (e.g. digital medical records, credit, social), triaging models and a variety of mortality models for automating most underwriting/risk classification decisions. Works closely with Underwriting, Actuarial, IT, Legal, Government relations and several other groups in designing, building and implementing these solutions
• Demonstrates to internal and external stakeholders how analytics can be implemented to maximize business benefits. Provides technical support, which includes strategic consulting, needs assessments, project scoping and the preparation/presentation of analytical proposals.
• Utilizes advanced statistical techniques to create high-performing predictive models and creative analyses to address business objectives and client needs.
• Develops and tests new statistical analysis methods, software and data sources for continual improvement of quantitative solutions.
• Utilizes data wrangling/data matching/ETL techniques while programming in several languages to explore a variety of data sources, gain data expertise, perform summary analyses and prepare modeling datasets.
• Deploys analytical solutions in production systems.
• Communicates with internal stakeholders on product design, data specification, model implementations, with partners on collaboration ideas and specifics, with clients and account teams on project/test results, opportunities, questions.
• Creates project milestone plans to ensure projects are completed on time and within budget. Provides high quality ongoing customer support; answering questions, resolving problems and building solutions.
• Actively contributes to analytics strategy by contributing ideas, preparing presentation material for internal stakeholders, and product design/business case materials for NYL leadership.
• Follows industry trends in insurance and related data/analytics processes and businesses. Functions as the analytics expert in meetings with other internal areas and external vendors. Actively participates in proof of concept tests of new data, software and technologies. Shares knowledge within Analytics group.
• Assures compliance with regulatory and privacy requirements during design and implementation of modeling and analysis projects.
• Travels to events and vendor meetings as needed (< 10%).

Required qualifications
• Master’s degree in Statistics, Computer Science or Mathematics and seven years of relevant industry full-time experience performing data analytics and modeling in insurance pricing, underwriting, and fraud detection or related areas.

OR

PhD in Statistics, Computer Science or Mathematics and five years of relevant industry full-time experience performing data analytics and modeling in insurance pricing, underwriting, and fraud detection or related areas.

one to three year(s) of experience must include:
• Programming in SAS (STAT, macros, EM), R, Python, SPARK, and SQL.
• Using GitHub/GitLab code sharing/collaboration tools preferred.
• Performing data wrangling, data matching, and ETL techniques while programming in several languages (R, Python, SAS, SQL and Spark) to extract and transform data from a variety of data sources (Oracle, SQL, Hadoop).
• Performing statistical modeling techniques including linear regression, logistic regression, survival analysis (Cox proportional hazard models), Generalized Linear Models (GLM), Robust GLM, regularization techniques (Ridge, Lasso, Elastic Net), decision tree-based models (Random Forests and GBM), cluster analysis, and Principal Component Analysis (PCA).
• Performing variable selection, feature creation (transformation, binning, high level categorical reduction, etc.) and model validation and testing (hold-outs, CV, bootstrap).
• Performing outlier detection, robust statistical modeling (e.g. rank based regression), design and analysis of experiments, hypotheses testing, convex and non-convex optimization and partial least squares regression
• Deploying analytical solutions in production systems and participating in proof of concept tests of new data, software and technologies.
• Performing data visualization using R Shiny, Spotfire or Tableau.
• Interfacing with business partners including Underwriting, Marketing, Agency, Actuarial, Finance, Product, Pricing, Data Strategy and Sales to analyze data needs.

Location
• Manhattan (midtown, walking distance from Penn Station and Grand Central

LI-TK1

EF-TK1

EOE M/F/D/V

If you have difficulty using or interacting with any portions of this Web site due to incompatibility with an Assistive Technology, if you need the information in an alternative format, or if you have suggestions on how we can make this site more accessible, please contact us at: (212) 576-5811",New York Life Insurance Co,"New York, NY",,Data Science - Underwriting Analytics
"ABOUT US

Simon Data was founded in 2015 by a team of successful serial entrepreneurs. We're a data-first marketing platform startup, and we approach our work seriously; we tackle problems in a scrappy and disruptive fashion, yet we build for scale to support our clients at big data volume.

We are the first and only enterprise customer data platform with a fully-integrated marketing cloud. Moving beyond the limitations of both categories, Simon’s platform empowers businesses to leverage enterprise-scale big data and machine learning to power customer communications in any channel. Simon’s unique approach allows brands to develop incredible personalization capabilities without needing to build and maintain massive bespoke data infrastructure.

Our culture is rooted in organizational transparency, empowering individuals, and an attitude of getting things done. If you want to be a valuable contributor on a team that cultivates these core values we would love to hear from you.

THE... ROLE

As a Data Scientist at Simon, you will be working as part of a collaborative/user focused team and be responsible for designing and building smart systems that drive revenue—our statistical models are at the core of our product, and will only become more so as we continue to develop and add features. We take an approach to ML that is data-first, and requires principled modeling decisions: we don’t believe in theory-crafting models before we have collected the data that will power them, as well as built out the business process that will continue to generate that data. In the model building process, we prioritize interpretable models whose training and performance yield insights about the underlying process, along with optimizing the selected objective.

Our technologies of choice are Python in the backend and React/Redux in the frontend, and our tech stack includes Django, MySQL, Redshift, S3, DynamoDB, and Elasticsearch storage, asynchronous tasks over RabbitMQ, and distributed data processing over Elastic MapReduce and Spark.

WHAT YOU’LL DO
• Build ML products that leverage Simon’s extraordinary data access to drive real business value
• Build high-quality statistical models by executing the entire model-building process, including data cleaning, feature extraction, model selection, and predictive validation
• Contribute to the tooling and interfaces used to support the data science process at Simon
• Represent Simon DS in conversations with stakeholders at our client companies
• Advance Simon as a thought leader in data science, by writing blog posts and papers, and presenting at industry conferences
• Guide internal product and technology strategy by representing data science perspectives and requirements in conversations with your peers

QUALIFICATIONS
• Ph.D. in Statistics/Machine Learning, or equivalent
• Excellent communication of statistical concepts to expert & non-expert audiences
• Broad and up-to-date knowledge of machine learning models (and their performance characteristics) for classification and regression tasks
• Specific experience designing and building machine-learning models
• Fluency in at least one statistical coding environment (numpy/pandas, R, etc.)
• Comfort coding in at least one non-statistical language (e.g. Python or Java, not R or Matlab)
• Fluency in SQL
• Production-level software engineering experience is a plus
• Expertise in causal inference, experiment design, reinforcement learning, and related fields is a plus

Visa sponsorship for this role is currently not available.

Diversity

We’re proud to be an equal opportunity employer open to all qualified applicants regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or expression, Veteran status, or any other legally protected status",Simon Data,Anywhere,$92k–149k,Data Scientist
